Time (LST),AVG_WS (mph),precip (mm),SUM_SR (W/m²),AVG_Temp (°C),AVG_RH (%),SVP (kPa),VP (mb)
2024-04-01,8.164,8.89,62.05,10.485,91.864,1.2684,11.6525
2024-04-02,9.6175,28.194,88.9167,10.7271,91.0921,1.2891,11.7426
2024-04-03,13.2506,4.064,112.6667,2.8833,86.6452,0.7515,6.5115
2024-04-04,11.4244,3.556,71.5833,3.3687,87.3896,0.7778,6.7974
2024-04-05,8.589,0.0,151.0208,4.9292,78.1156,0.868,6.7805
2024-04-06,3.2644,0.0,305.2083,6.0375,64.5358,0.9375,6.0505
2024-04-07,8.7875,4.826,126.4167,9.8771,61.4935,1.2179,7.4892
2024-04-08,5.9064,0.0,244.4468,15.5532,57.2809,1.767,10.1217
2024-04-09,6.1917,0.0,282.7083,16.5146,51.8425,1.8789,9.7408
2024-04-10,4.3533,5.842,141.6875,13.2125,72.3392,1.5187,10.9863
2024-04-11,10.5048,19.812,51.5,10.8208,90.6706,1.2972,11.7614
2024-04-12,12.6315,5.842,229.5625,11.3458,76.889,1.3432,10.3277
2024-04-13,5.9738,0.0,314.4583,12.9125,56.8085,1.4892,8.46
2024-04-14,10.6502,0.0,293.9167,20.8375,50.0221,2.4623,12.3169
2024-04-15,5.2288,0.0,315.4375,19.0187,57.7804,2.2,12.7115
2024-04-16,8.7844,0.254,215.3542,20.4708,48.5921,2.4073,11.6976
2024-04-17,12.704,1.27,165.2083,18.5271,67.08,2.1334,14.3108
2024-04-18,5.0665,8.636,193.375,14.675,66.4671,1.67,11.0999
2024-04-19,10.1119,2.54,236.1667,10.0146,68.6254,1.2292,8.4352
2024-04-20,9.6665,0.0,254.1042,6.3938,54.7167,0.9609,5.2578
2024-04-21,6.261,0.0,319.6042,6.7312,52.0552,0.9835,5.1197
2024-04-22,5.7021,0.0,305.6042,10.4833,50.1354,1.2683,6.3587
2024-04-23,8.4717,30.48,46.0,11.0417,73.5956,1.3164,9.6878
2024-04-24,8.5446,0.0,203.7292,6.6479,80.8392,0.9779,7.9052
2024-04-25,5.0636,0.0,326.25,7.1625,69.9073,1.0131,7.0823
2024-04-26,7.8448,6.35,143.2292,11.85,68.2371,1.3888,9.4764
2024-04-27,10.096,5.334,212.125,19.9833,75.8094,2.3359,17.7081
2024-04-28,9.9706,1.524,218.2708,21.4479,69.1108,2.5563,17.6665
2024-04-29,6.5238,6.604,71.1875,17.8812,83.8115,2.0486,17.1699
2024-04-30,3.9404,0.0,340.6875,17.7229,70.845,2.0283,14.3695
2024-05-01,6.3807,0.0,338.0,20.1783,57.6333,2.3642,13.6257
2024-05-02,5.5677,0.0,286.9375,21.3979,56.9777,2.5484,14.5205
2024-05-03,5.7348,0.508,237.125,20.1062,72.2744,2.3537,17.0113
2024-05-04,3.6819,0.0,314.3333,20.5833,64.3383,2.4241,15.596
2024-05-05,6.1717,0.762,290.9583,16.5438,72.9098,1.8824,13.7246
2024-05-06,6.6212,0.0,267.6042,17.8208,69.9002,2.0409,14.2656
2024-05-07,7.6698,3.81,211.2708,20.5562,69.6135,2.42,16.8466
2024-05-08,3.4227,0.0,245.1875,20.5562,59.5346,2.42,14.4075
2024-05-09,6.8358,5.588,51.4167,15.3604,88.0052,1.7453,15.3597
2024-05-10,5.3204,0.0,258.5625,14.0375,73.5025,1.6025,11.7788
2024-05-11,10.1967,1.016,335.5833,16.3792,57.0688,1.8628,10.6307
2024-05-12,4.6812,0.0,347.75,18.2646,54.8267,2.0986,11.5058
2024-05-13,6.1033,0.0,245.9792,20.6958,55.8779,2.4409,13.6393
2024-05-14,4.7546,0.254,119.0833,17.9479,82.5225,2.0572,16.9769
2024-05-15,6.815,5.842,168.0208,17.5021,85.4688,2.0003,17.0959
2024-05-16,3.8673,0.0,188.0833,17.225,79.6273,1.9655,15.651
2024-05-17,3.5915,0.0,278.6875,20.5875,76.9448,2.4247,18.6567
2024-05-18,3.28,0.0,287.9167,22.6271,69.5354,2.7467,19.0992
2024-05-19,5.0131,0.762,263.6458,23.7,66.5073,2.9306,19.4907
2024-05-20,6.2042,0.0,317.0417,24.4771,62.7127,3.0704,19.2556
2024-05-21,6.4715,0.0,393.9375,25.1479,60.5671,3.1958,19.356
2024-05-22,11.8013,0.0,339.375,24.6583,55.6621,3.1039,17.2768
2024-05-23,2.7783,0.0,60.9138,16.7121,69.6288,1.9027,13.2479
2024-05-24,,0.0,,,,,
2024-05-25,,0.0,,,,,
2024-05-26,,0.0,,,,,
2024-05-27,,0.0,,,,,
2024-05-28,,0.0,,,,,
2024-05-29,,0.0,,,,,
2024-05-30,1.2607,0.0,24.619,8.5548,82.0498,1.114,9.1402
